Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
25.3245342,143,-0.018,19,26,26
25.3345342,130,-0.018,19,26,26
25.3445342,137,-0.018,19,26,26
25.3545342,134,-0.018,19,26,26
25.4764438,138,0.004,19,26,26
25.4864438,117,0.004,19,26,26
25.4964438,149,0.004,19,26,26
25.5064438,136,0.004,19,26,26
25.5164438,139,0.004,19,26,26
25.5264438,138,0.004,19,26,26
25.5364438,141,0.004,19,26,26
25.5464438,136,0.004,19,26,26
25.5564438,131,0.004,19,26,26
25.5664438,141,0.004,19,26,26
25.6730221,129,0.004,19,26,26
25.6830221,138,0.004,19,26,26
25.6930221,135,0.004,19,26,26
25.7030221,145,0.004,19,26,26
25.7130221,142,0.004,19,26,26
25.7230221,125,0.004,19,26,26
25.7330221,137,0.004,19,26,26
25.7430221,137,0.004,19,26,26
25.7530221,148,0.004,19,26,26
25.7630221,131,0.004,19,26,26
25.7295027,142,0.015,19,26,26
25.7395027,131,0.015,19,26,26
25.7495027,136,0.015,19,26,26
25.7595027,133,0.015,19,26,26
25.7695027,147,0.015,19,26,26
25.7795027,143,0.015,19,26,26
25.7895027,127,0.015,19,26,26
25.7995027,137,0.015,19,26,26
25.8095027,137,0.015,19,26,26
25.8195027,145,0.015,19,26,26
25.8702876,135,-0.011,19,26,26
25.8802876,138,-0.011,19,26,26
25.8902876,131,-0.011,19,26,26
25.9002876,147,-0.011,19,26,26
25.9102876,133,-0.011,19,26,26
25.9202876,149,-0.011,19,26,26
25.9302876,138,-0.011,19,26,26
25.9402876,119,-0.011,19,26,26
25.9502876,147,-0.011,19,26,26
25.9602876,139,-0.011,19,26,26
25.9316015,139,-0.011,19,26,26
25.9416015,139,-0.011,19,26,26
25.9516015,139,-0.011,19,26,26
25.9616015,137,-0.011,19,26,26
25.9716015,132,-0.011,19,26,26
25.9816015,142,-0.011,19,26,26
25.9916015,140,-0.011,19,26,26
26.0016015,144,-0.011,19,26,26
26.0116015,123,-0.011,19,26,26
26.0216015,139,-0.011,19,26,26
26.0846124,137,0,19,26,26
26.0946124,148,0,19,26,26
26.1046124,138,0,19,26,26
26.1146124,130,0,19,26,26
